"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Bakel",34.0166666666667,37.0166666666667,41.0583333333333,43.2916666666667,43.4416666666667,40.525,36.4333333333333,34.3833333333333,34.9416666666667,38.25,38.4,35.15
"Bambey",33.075,35.025,37.7916666666667,38.05,37.9916666666667,36.5916666666667,34.2416666666667,33.15,33.6666666666667,36.0916666666667,36.65,34.925
"Cap-skiring",31.95,32.4833333333333,31.9333333333333,30.2083333333333,30.0583333333333,31.6083333333333,31.175,31.1,31.5363636363636,32.6583333333333,32.9166666666667,32.2833333333333
"Dakar-yoff",26.1583333333333,25.4416666666667,25.7,25.3583333333333,26.575,29.15,30.4416666666667,30.7416666666667,31.25,31.45,30.3416666666667,28.0833333333333
"Diourbel",34.0833333333333,35.9583333333333,38.9916666666667,39.9083333333333,40.7916666666667,38.0083333333333,35.425,33.8916666666667,34.0666666666667,36.9666666666667,37.6333333333333,35.5916666666667
"Fatick",34.2833333333333,36.1833333333333,39.15,39.6416666666667,39.1916666666667,36.7916666666667,34.3666666666667,33.1166666666667,33.3666666666667,35.05,36.6,35.4
"Goudiry",34.42,37.36,40.48,41.38,41.9,38.28,33.94,31.94,33.02,35.68,37.08,35.72
"Kaolack",34.85,36.9083333333333,39.9916666666667,40.8,40.275,37.2916666666667,34.9,33.5416666666667,33.775,36.25,37.5333333333333,36.0833333333333
"Kedougou",34.6166666666667,37.525,39.7583333333333,40.7083333333333,38.95,34.8833333333333,32.2916666666667,31.5,32.0666666666667,34.3833333333333,35.775,34.3333333333333
"Kolda",35.0833333333333,37.5333333333333,40.6583333333333,41.4166666666667,40.9083333333333,37.825,34.6166666666667,33.225,33.7416666666667,34.9416666666667,36.1416666666667,35.5166666666667
"Koungheul",35.8333333333333,37.925,40.5,42,41.5416666666667,39.1416666666667,35.1416666666667,33.3833333333333,33.775,36.4,37.8583333333333,36.9666666666667
"Linguere",32.8,36.5083333333333,37.4833333333333,40.3166666666667,41.3166666666667,40.025,35.7666666666667,34.1416666666667,34.9666666666667,37.7583333333333,37.75,33.8
"Louga",32.0833333333333,33.9416666666667,36.8083333333333,37.1583333333333,37.1083333333333,35.6916666666667,33.5166666666667,33.6916666666667,34.1916666666667,37.1333333333333,36.5083333333333,33.95
"Matam",33.7583333333333,36.3833333333333,40.6,42.85,43.7833333333333,41.0083333333333,37.1583333333333,34.75,35.5416666666667,39.0333333333333,38.3666666666667,35.7083333333333
"Mbour",34.1333333333333,35.325,37.1,35.3166666666667,33.3333333333333,31.9416666666667,32.6166666666667,32.675,32.7083333333333,34.0666666666667,36.2416666666667,35.0666666666667
"Nioro",35.55,36.7833333333333,39.5083333333333,41.3,39.925,36.3916666666667,33.15,32.4083333333333,33.4166666666667,34.775,36.7,35.7166666666667
"Podor",31.6333333333333,33.8833333333333,37.9583333333333,40.0666666666667,41.7583333333333,40.8916666666667,37.6166666666667,36.5583333333333,37.2666666666667,39.0333333333333,36.8083333333333,33.8916666666667
"Ranerou",33.225,36.1416666666667,39.6416666666667,41.875,43.0583333333333,40.3916666666667,35.8083333333333,34.5583333333333,34.7833333333333,38.7416666666667,37.8916666666667,35.4083333333333
"Saint-louis",31.8333333333333,32.25,33.5916666666667,31.7083333333333,30.6,31.05,31.625,32.5583333333333,33.35,34.7333333333333,35.0916666666667,32.9333333333333
"Simenti",35.7333333333333,36.6666666666667,39.325,41.525,39.6083333333333,36.6083333333333,33.475,32.425,32.725,33.525,36.4666666666667,35.6333333333333
"Tambacounda",35.25,37.425,39.5666666666667,41.35,41.0666666666667,36.7916666666667,33.475,32.1916666666667,33.1166666666667,35.475,37.4,36.1916666666667
"Thies",32.7583333333333,33.2166666666667,33.9083333333333,33.4666666666667,33.175,33.5833333333333,32.475,31.8166666666667,31.975,33.4333333333333,34.575,32.525
"Velingara",35.2166666666667,37.9083333333333,39.9416666666667,40.9916666666667,40.5833333333333,36.2833333333333,33.1916666666667,32.0583333333333,32.4916666666667,34.2666666666667,35.7,35.7666666666667
"Ziguinchor",34.0166666666667,36.7166666666667,38.6666666666667,38.4416666666667,37.2833333333333,35.3416666666667,33.1083333333333,32.5,33.0416666666667,34.175,34.6416666666667,33.8916666666667
